District,Chiefdom,Name of PHU,Community,School Name,School enrollment
KOINADUGU,DIANG,Kondembaia CHC,KONDEMBAIA (DIANG),SAINT PETER ROAMN CATHOLIC PRIMARY SCHOOL,222
KOINADUGU,DIANG,Kondembaia CHC,KONDOBAIA (DIANG),ANSARUL ISLAMIC KONDOBAIA,163
KOINADUGU,DIANG,Kondembaia CHC,MADINA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,80
KOINADUGU,DIANG,Kondembaia CHC,SANDIA (DIANG),SANDIA COMMUNITY PRIMARY SCHOOL,104
KOINADUGU,DIANG,Kondembaia CHC,KUMGUBAMIA,KUMGUBAMIA COMMUNITY PRIMARY SCHOOL,122
KOINADUGU,DIANG,Kondembaia CHC,FULLAH TOWN,ISLAMIC PRIMARY SCHOOL,129
KOINADUGU,DIANG,Lengekoro CHP,KAKUTHUHU (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,200
KOINADUGU,DIANG,Lengekoro CHP,LENGEKORO (DIANG),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,200
KOINADUGU,DIANG,Lengekoro CHP,HEREMAKONO,AL-HARRAN ISLANMIC PRIMARY SCHOOL,137
KOINADUGU,DIANG,Lengekoro CHP,KAMAGIMBO,DISTRICT EDUCATION COUNCIL ISLAMIC PRIMARY SCHOOL,222
KOINADUGU,DIANG,Lengekoro CHP,KONKOBA 2,CHRISTIAN REFORMED CHURCH PRIMARY SCHOOL,118
KOINADUGU,DIANG,Lengekoro CHP,KONKOBA 2,ROMAN CATHOLIC PRIMARY SCHOOL,152
KOINADUGU,DIANG,Lengekoro CHP,TONKAYA,ROMAN CATHOLIC PRIMARY SCHOOL,150
KOINADUGU,WARA WARA YAGALA,Lengekoro CHP,,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,185
KOINADUGU,WARA WARA YAGALA,Lengekoro CHP,,ROMAN CATHOLIC PRIMARY SCHOOL,185
KOINADUGU,DIANG,Nyawulia MCHP,KOMONKALIA (DIANG),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,111
KOINADUGU,DIANG,Nyawulia MCHP,N'YANWULIA (DIANG),DISTRICT EDUCATION COUNCIL ISLAMIC PRIMARY SCHOOL,177
KOINADUGU,DIANG,Nyawulia MCHP,N'YANWULIA (DIANG),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,278
KOINADUGU,DIANG,Nyawulia MCHP,KOMBOKALIA,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,134
KOINADUGU,DIANG,Nyawulia MCHP,MORIA,DISTRICT EDUCATION COUNCIL ISLAMIC PRIMARY SCHOOL,135
KOINADUGU,DIANG,Nyawulia MCHP,N'YANWULIA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,132
KOINADUGU,DIANG,Solia MCHP,SOLIA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,137
KOINADUGU,DIANG,Waia MCHP,GBONGBORTOR (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,156
KOINADUGU,DIANG,Waia MCHP,WAIA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,76
KOINADUGU,DIANG,Waia MCHP,WOROWAYA (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,76
KOINADUGU,DIANG,Yarah CHP,YARAH (DIANG),CHRISTIAN REFORMED CHURCH PRIMARY SCHOOL,124
KOINADUGU,DIANG,Yarah CHP,YARAH (DIANG),ROMAN CATHOLIC PRIMARY SCHOOL,158
KOINADUGU,DIANG,Yiben MCHP,YIEBEN (DIANG),SET 4 LIFE PRIMARY SCHOOL,194
KOINADUGU,GBONKOBON KAYAKA,Kakarima MCHP,HEREMAKONO KAYAKA (GBONKOBON KAYAKA),"ALHARRKAN PRIMARY SCHOOL ,HEREMAKONO",69
KOINADUGU,GBONKOBON KAYAKA,Kakarima MCHP,KABONKA (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL,71
KOINADUGU,GBONKOBON KAYAKA,Kakarima MCHP,KAKARIMA (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL,137
KOINADUGU,GBONKOBON KAYAKA,Kakarima MCHP,SIMBEK (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL,238
KOINADUGU,GBONKOBON KAYAKA,Kassasie CHP,KAMAWAY (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL,66
KOINADUGU,GBONKOBON KAYAKA,Kassasie CHP,KASASIE (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL,158
KOINADUGU,GBONKOBON KAYAKA,Kassasie CHP,KASASIE (GBONKOBON KAYAKA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,167
KOINADUGU,GBONKOBON KAYAKA,Kassasie CHP,KAYANKAY (GBONKOBON KAYAKA),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,106
KOINADUGU,GBONKOBON KAYAKA,Madina CHC,KAFFA,ROMAN CATHOLIC PRIMARY SCHOOL,79
KOINADUGU,GBONKOBON KAYAKA,Madina CHC,KAKOYA  (GBONKOBON KAYAKA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,131
KOINADUGU,GBONKOBON KAYAKA,Madina CHC,KAMAWARA WARA,KAMA WARAWARA COMMUNITY PRIMARY SCHOOL,120
KOINADUGU,GBONKOBON KAYAKA,Madina CHC,KATHUNPU MADINGO,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,287
KOINADUGU,GBONKOBON KAYAKA,Madina CHC,KEMABIO,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,109
KOINADUGU,GBONKOBON KAYAKA,Madina CHC,MADINA GBONIKOBOR (GBONKOBON KAYAKA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,156
KOINADUGU,GBONKOBON KAYAKA,Sawuria CHP,KAKOYA (GBONKOBON KAYAKA),ROMAN CATHOLIC PRIMARY SCHOOL,154
KOINADUGU,GBONKOBON KAYAKA,Sawuria CHP,KAMASAPIE (GBONKOBON KAYAKA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,77
KOINADUGU,GBONKOBON KAYAKA,Sawuria CHP,KAWA,ROMAN CATHOLIC PRIMARY SCHOOL,126
KOINADUGU,GBONKOBON KAYAKA,Sawuria CHP,THANKOROSIDIA (GBONKOBON KAYAKA),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,277
KOINADUGU,KALIAN,Alkalia CHP,ALIKALIA TOWN (KALIAN),AL-HARRAN ISLANMIC PRIMARY SCHOOL,151
KOINADUGU,KALIAN,Alkalia CHP,ALIKALIA TOWN (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,189
KOINADUGU,KALIAN,Alkalia CHP,ALIKALIA TOWN (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,358
KOINADUGU,KALIAN,Alkalia CHP,MORIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,282
KOINADUGU,KALIAN,Alkalia CHP,YIFFIN (KALIAN),CHRIST REFORM CHURCH PRIMARY SCHOOL,149
KOINADUGU,KALIAN,Alkalia CHP,ALIKALIA TOWN (KALIAN),ROMAN CATHOLIC PRIMARY SCHOOL,334
KOINADUGU,KALIAN,Alkalia CHP,Borekoro,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,400
KOINADUGU,KALIAN,Alkalia CHP,Grangbanfira,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,368
KOINADUGU,KALIAN,Alkalia CHP,Yefei,AHMADIYYA PRIMARY SCHOOL,381
KOINADUGU,KALIAN,Kendeya MCHP,KENDEYA (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,236
KOINADUGU,KALIAN,Kendeya MCHP,KENDEYA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,389
KOINADUGU,KALIAN,Kendeya MCHP,KONIYA (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,88
KOINADUGU,KALIAN,Kendeya MCHP,Lanakoro,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,747
KOINADUGU,KALIAN,Kendeya MCHP,Ropolo,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,666
KOINADUGU,KALIAN,Kendeya MCHP,Senbelfeh,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,608
KOINADUGU,KALIAN,Kumala CHC,FARANKORO (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,236
KOINADUGU,KALIAN,Kumala CHC,Kumala,KIPS PRIMARY SCHOOL,967
KOINADUGU,KALIAN,Kumala CHC,KUMALA (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,279
KOINADUGU,KALIAN,Kumala CHC,KUMALA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,391
KOINADUGU,KALIAN,Kumala CHC,Liroh,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,757
KOINADUGU,KALIAN,Kumala CHC,LIROH (KALIAN),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,222
KOINADUGU,KALIAN,Kumala CHC,MANSERIA (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,78
KOINADUGU,KALIAN,Kumala CHC,YORIA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,282
KOINADUGU,KALIAN,Sesaywulia MCHP,Komotombaia,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,510
KOINADUGU,KALIAN,Sesaywulia MCHP,Komotonbaia,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,477
KOINADUGU,KALIAN,Sesaywulia MCHP,SESAYWULIA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,366
KOINADUGU,KALIAN,Sesaywulia MCHP,Soya,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,559
KOINADUGU,KALIAN,Tunkolie CHP,Deteya,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,509
KOINADUGU,KALIAN,Tunkolie CHP,Kulkor,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,404
KOINADUGU,KALIAN,Tunkolie CHP,Tunkolie,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,388
KOINADUGU,KALIAN,Tunkolie CHP,Wellington,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,331
KOINADUGU,KALIAN,Worombaia MCHP,WOROBAIA (KALIAN),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,353
KOINADUGU,KALIAN,Worombaia MCHP,Abuia,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,482
KOINADUGU,KALIAN,Worombaia MCHP,Balaia,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,422
KOINADUGU,KALIAN,Worombaia MCHP,Bombonkoro,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,374
KOINADUGU,KALIAN,Worombaia MCHP,Gbamalia,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,394
KOINADUGU,KAMUKEH,Kambalia MCHP,KAMBALIA (WARA WARA BAFODIA),N.B.C. PRIMARY SCHOOL,403
KOINADUGU,KAMUKEH,Kambalia MCHP,MONGOFEH (KAMUKEH),N.B.C PRIMARY SCHOOL,195
KOINADUGU,KAMUKEH,Kambalia MCHP,Kasasie,N.B.C PRIMARY SCHOOL,106
KOINADUGU,KAMUKEH,Kambia MCHP,KAMBIA (WARA WARA BAFODIA),"N.B.C. PRIMARY SCHOOL , KAMBIA",325
KOINADUGU,KAMUKEH,Kambia MCHP,Turaya,N.B.C PRIMARY SCHOOL,94
KOINADUGU,KAMUKEH,Kambia MCHP,Gbalgbalia,N.B.C PRIMARY SCHOOL,167
KOINADUGU,KAMUKEH,Kambia MCHP,PAMPAKOR (KAMUKEH),"N.B.C. PRIMARY SCHOOL ,",163
KOINADUGU,KAMUKEH,Mandia CHP,DALIPORTHOR (KAMUKEH),"N.B.C. PRIMARY SCHOOL, DALIPORTHOR",224
KOINADUGU,KAMUKEH,Mandia CHP,MANDAIA (KAMUKEH),ALHARRKAN ISLAMIC PRIMARY SCHOOL MANDIA,149
KOINADUGU,KAMUKEH,Mandia CHP,Mandia,BAPTIST PRIMARY SCHOOL,375
KOINADUGU,KAMUKEH,Mandia CHP,Kasonkon,N.B.C PRIMARY SCHOOL,115
KOINADUGU,KAMUKEH,Thellia CHC,SEREKUDAY (KAMUKEH),N.B.C. PRIMARY SCHOOL,335
KOINADUGU,KAMUKEH,Thellia CHC,THALLIA (KAMUKEH),N.B.C. PRIMARY SCHOOL,199
KOINADUGU,KAMUKEH,Thellia CHC,Kamagbonsie,N.B.C PRIMARY SCHOOL,167
KOINADUGU,KAMUKEH,Thellia CHC,Lumbahara,N.B.C PRIMARY SCHOOL,118
KOINADUGU,KAMUKEH,Thellia CHC,Kasella,N.B.C PRIMARY SCHOOL,106
KOINADUGU,KAMUKEH,Thellia CHC,Kosssay Fullah,N.B.C PRIMARY SCHOOL,64
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,FADUGU (KASUNKO KAKELLIAN),"ALHARRKAN PRIMARY SCHOOL ,FADUGU",302
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,FADUGU (KASUNKO KAKELLIAN),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,304
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,FADUGU (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,419
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KABENDA (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,150
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KAFOGO (KASUNKO KAKELLIAN),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,198
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KAFOGO (KASUNKO KAKELLIAN),WEST AFIRCA METHODIST PRIMARY SCHOOL,101
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KAKEKOR,SAINT MINISTRY PRIMARY SCHOOL,76
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,KAMABINKI (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,225
KOINADUGU,KASUNKO KAKELLIAN,Fadugu CHC,SANGBANBA (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,145
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAGBASIA (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,110
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAIGBUSUNA (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,112
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAMAKAY (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,141
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAMAKENTHEYE (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,116
KOINADUGU,KASUNKO KAKELLIAN,Kagbasia MCHP,KAMASORIE (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,104
KOINADUGU,KASUNKO KAKELLIAN,Kasaaaie Kakellay MCHP,KAGBOLIE (KASUNKO KAKELLIAN),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,105
KOINADUGU,KASUNKO KAKELLIAN,Kasaaaie Kakellay MCHP,KAKUTHAN (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,70
KOINADUGU,KASUNKO KAKELLIAN,Kasaaaie Kakellay MCHP,KAMAGBAIKABAY (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,92
KOINADUGU,KASUNKO KAKELLIAN,Kasaaaie Kakellay MCHP,KASASSIE (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,110
KOINADUGU,KASUNKO KAKELLIAN,Kasaaaie Kakellay MCHP,MAKAMAYA (KASUNKO KAKELLIAN),ROMAN CATHOLIC PRIMARY SCHOOL,186
KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi ,KABENDUGU (KASUNKO KAKELLIAN),CHRIST STANDARD PRIMARY SCHOOL,105
KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi ,KABUTA (KASUNKO KAKELLIAN),CHRIST STANDARD PRIMARY SCHOOL,76
KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi ,KAKANU (KASUNKO KAKELLIAN),WESLEYAN PRIMARY SCHOOL KAKANU,85
KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi ,KAWEREH (KASUNKO KAKELLIAN),WESLEYAN PRIMARY SCHOOL KAKANU,145
KOINADUGU,KASUNKO KAKELLIAN,Madina Kamandi ,MADINA KAMANDI (KASUNKO KAKELLIAN),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,150
KOINADUGU,NIENI,Fankoya CHP,FANKOYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,59
KOINADUGU,NIENI,Fankoya CHP,KOMBATAMBAIA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,130
KOINADUGU,NIENI,Fankoya CHP,KOMBOTAMBAIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,221
KOINADUGU,NIENI,Fankoya CHP,YIBEN (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,113
KOINADUGU,NIENI,Fankoya CHP,DANIYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,151
KOINADUGU,NIENI,Fankoya CHP,SOYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,102
KOINADUGU,NIENI,Fankoya CHP,SEWAYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,185
KOINADUGU,NIENI,Fankoya CHP,SEWAYA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,133
KOINADUGU,NIENI,Fankoya CHP,Dinkrayie,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,98
KOINADUGU,NIENI,Fankoya CHP,Soyayiraya,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,94
KOINADUGU,NIENI,Fankoya CHP,YIBEN (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,87
KOINADUGU,NIENI,Funumbakoro MCHP,FUNUMBA KORO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,185
KOINADUGU,NIENI,Funumbakoro MCHP,FUNUMBA KORO (NIENI),ROMAN CATHOLIC PRIMARY SCHOOL,88
KOINADUGU,NIENI,Funumbakoro MCHP,NIENI KONDEMBAIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,181
KOINADUGU,NIENI,Funumbakoro MCHP,FUNUMBA KURA (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,60
KOINADUGU,NIENI,Kaya CHP,KAMARO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,107
KOINADUGU,NIENI,Kaya CHP,KAMARON (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,130
KOINADUGU,NIENI,Kaya CHP,KAMBAIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,60
KOINADUGU,NIENI,Kaya CHP,KARANKAYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,177
KOINADUGU,NIENI,Kaya CHP,KAYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,553
KOINADUGU,NIENI,Kaya CHP,KOMBAYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,151
KOINADUGU,NIENI,Kaya CHP,NYANDAKDIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,185
KOINADUGU,NIENI,Krutor CHP,GBENEKORO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,156
KOINADUGU,NIENI,Krutor CHP,GBENIKORO 2 (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,151
KOINADUGU,NIENI,Krutor CHP,KRUTOR (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,238
KOINADUGU,NIENI,Krutor CHP,MELYIFEH (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,185
KOINADUGU,NIENI,Mangay MCHP,BAKOYA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,67
KOINADUGU,NIENI,Mangay MCHP,BAMBAYIRIA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,74
KOINADUGU,NIENI,Mangay MCHP,MANGAY (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,170
KOINADUGU,NIENI,Mangay MCHP,Paria,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,72
KOINADUGU,NIENI,Safinya MCHP,KOYIYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,185
KOINADUGU,NIENI,Safinya MCHP,SAFINYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,209
KOINADUGU,NIENI,Safinya MCHP,SAFINYA (NIENI),ROMAN CATHOLIC PRIMARY SCHOOL,165
KOINADUGU,NIENI,Safinya MCHP,Boikalia,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,80
KOINADUGU,NIENI,Safinya MCHP,Wosokorolia,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,86
KOINADUGU,NIENI,Safinya MCHP,Bandaya,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,49
KOINADUGU,NIENI,Safinya MCHP,Kaliya,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,77
KOINADUGU,NIENI,Safinya MCHP,Yerelafa,MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,61
KOINADUGU,NIENI,Santi Balia MCHP,SANTI BALIA (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,149
KOINADUGU,NIENI,Sumbaria CHP,BANGURIA (NIENI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,48
KOINADUGU,NIENI,Sumbaria CHP,GBENBERIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,181
KOINADUGU,NIENI,Sumbaria CHP,MABALA (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,199
KOINADUGU,NIENI,Sumbaria CHP,SUMBARIA (NIENI),ANSARUL ISLAMIC PRIMARY SCHOOL,59
KOINADUGU,NIENI,Sumbaria CHP,SUMBARIA (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,273
KOINADUGU,NIENI,Sumbaria CHP,SUMBARIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,220
KOINADUGU,NIENI,Sumbaria CHP,ABUYA (KALIAN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,101
KOINADUGU,NIENI,Sumbaria CHP,GBENEKORO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,80
KOINADUGU,NIENI,Sumbaria CHP,SAWURIA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,85
KOINADUGU,NIENI,Yiffin CHC,KULANYA (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,98
KOINADUGU,NIENI,Yiffin CHC,TILIKORO (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,185
KOINADUGU,NIENI,Yiffin CHC,YIFFIN (NIENI),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,180
KOINADUGU,NIENI,Yiffin CHC,YIFFIN (NIENI),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,250
KOINADUGU,NIENI,Yiffin CHC,YIFFIN (NIENI),ROMAN CATHOLIC PRIMARY SCHOOL,68
KOINADUGU,NIENI,Yiffin CHC,YIFFIN,NEW HARVEST PRIMARY SCHOOL,0
KOINADUGU,NIENI,Sumbaria CHP,SUMBARIA (NIENI),IMATY PRIMARY SCHOOL ,62
KOINADUGU,SENGBE,Bambukoro CHP,BAMBUKORO (SENGBE),ROMAN CATHOLIC PRIMARY SCHOOL,289
KOINADUGU,SENGBE,Bambukoro CHP,BAMBUKORO (SENGBE),SIERRA LEONE MUSLIMBROTHERHOOD PRIMARY SCHOOL,188
KOINADUGU,SENGBE,Bambukoro CHP,YOMADUGU,ROMAN CATHOLIC PRIMARY SCHOOL,231
KOINADUGU,SENGBE,Bambukura MCHP,BANBUKURA (SENGBE),MISSIONARY CHURCH OF AFRICA PRIMARY SCHOOL,253
KOINADUGU,SENGBE,Gbenikoro CHP,FRONOYA (SENGBE),BINTA'S ANGEL NETWORK FORONONYA,157
KOINADUGU,SENGBE,Gbenikoro CHP,GBENIKORO (SENGBE),DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,278
KOINADUGU,SENGBE,Gbenikoro CHP,TANENEH,DISTRICT EDUCATION COUNCIL PRIMARY SCHOOL,160
